"","Age group","Sex","Cause","Deaths added"
"70","All ages","Male","Drownings"," 128.0, ( 116.0, 141.0)"
"71","All ages","Male","Intentional self-harm"," 253.0, ( 200.0, 306.0)"
"72","All ages","Male","Assault"," 135.0, ( 100.0, 170.0)"
"73","0-4","Female","Transport","   1.0, (  -1.0,   4.0)"
"74","0-4","Female","Falls","   0.0, (   0.0,   0.0)"
"75","0-4","Female","Other unintentional injuries","  -6.0, ( -11.0,   0.0)"
"76","0-4","Female","Drownings","   3.0, (   1.0,   6.0)"
"77","0-4","Female","Intentional self-harm","   0.0, (   0.0,   0.0)"
"78","0-4","Female","Assault","   3.0, (   0.0,   6.0)"
"79","5-14","Female","Transport","   4.0, (   1.0,   8.0)"
"80","5-14","Female","Falls","   0.0, (   0.0,   0.0)"
"81","5-14","Female","Other unintentional injuries","  -1.0, (  -3.0,   0.0)"
"82","5-14","Female","Drownings","   3.0, (   2.0,   5.0)"
"83","5-14","Female","Intentional self-harm","   3.0, (   0.0,   5.0)"
"84","5-14","Female","Assault","   1.0, (   0.0,   2.0)"
"85","15-24","Female","Transport","  18.0, (   8.0,  28.0)"
"86","15-24","Female","Falls","   0.0, (   0.0,   1.0)"
"87","15-24","Female","Other unintentional injuries","   1.0, (  -6.0,   8.0)"
"88","15-24","Female","Drownings","   1.0, (   0.0,   1.0)"
"89","15-24","Female","Intentional self-harm","   7.0, (  -1.0,  16.0)"
"90","15-24","Female","Assault","   9.0, (   3.0,  14.0)"
"91","25-34","Female","Transport","   4.0, (  -6.0,  15.0)"
"92","25-34","Female","Falls","   1.0, (   0.0,   2.0)"
"93","25-34","Female","Other unintentional injuries","   1.0, ( -19.0,  21.0)"
"94","25-34","Female","Drownings","   2.0, (   1.0,   3.0)"
"95","25-34","Female","Intentional self-harm","  12.0, (   2.0,  22.0)"
"96","25-34","Female","Assault","   2.0, (  -4.0,   8.0)"
"97","35-44","Female","Transport","   4.0, (  -3.0,  12.0)"
"98","35-44","Female","Falls","   0.0, (  -1.0,   1.0)"
"99","35-44","Female","Other unintentional injuries","   9.0, ( -14.0,  33.0)"
"100","35-44","Female","Drownings","   1.0, (   0.0,   2.0)"
"101","35-44","Female","Intentional self-harm","  11.0, (   0.0,  21.0)"
"102","35-44","Female","Assault","   7.0, (   2.0,  12.0)"
"103","45-54","Female","Transport","   5.0, (  -5.0,  15.0)"
"104","45-54","Female","Falls","   0.0, (  -3.0,   4.0)"
"105","45-54","Female","Other unintentional injuries","  -4.0, ( -34.0,  27.0)"
"106","45-54","Female","Drownings","   2.0, (   0.0,   3.0)"
"107","45-54","Female","Intentional self-harm","   9.0, (  -4.0,  22.0)"
"108","45-54","Female","Assault","   4.0, (   0.0,   9.0)"
"109","55-64","Female","Transport","   3.0, (  -7.0,  12.0)"
"110","55-64","Female","Falls","   1.0, (  -7.0,   8.0)"
"111","55-64","Female","Other unintentional injuries","  11.0, ( -17.0,  37.0)"
"112","55-64","Female","Drownings","   1.0, (  -1.0,   3.0)"
"113","55-64","Female","Intentional self-harm","  11.0, (  -3.0,  25.0)"
"114","55-64","Female","Assault","   2.0, (  -2.0,   6.0)"
"115","65-74","Female","Transport","  12.0, (   4.0,  20.0)"
"116","65-74","Female","Falls","  -3.0, ( -16.0,   9.0)"
"117","65-74","Female","Other unintentional injuries","  -2.0, ( -18.0,  14.0)"
"118","65-74","Female","Drownings","   1.0, (   0.0,   3.0)"
"119","65-74","Female","Intentional self-harm","   9.0, (   1.0,  17.0)"
"120","65-74","Female","Assault","   1.0, (  -1.0,   3.0)"
"121","75-84","Female","Transport","   7.0, (   0.0,  13.0)"
"122","75-84","Female","Falls","  -3.0, ( -23.0,  17.0)"
"123","75-84","Female","Other unintentional injuries","  -6.0, ( -23.0,  11.0)"
"124","75-84","Female","Drownings","   1.0, (   0.0,   2.0)"
"125","75-84","Female","Intentional self-harm","   0.0, (  -4.0,   4.0)"
"126","75-84","Female","Assault","   0.0, (  -1.0,   1.0)"
"127","85+","Female","Transport","   5.0, (  -1.0,  10.0)"
"128","85+","Female","Falls"," -41.0, ( -79.0,  -4.0)"
"129","85+","Female","Other unintentional injuries"," -11.0, ( -41.0,  20.0)"
"130","85+","Female","Drownings","   0.0, (   0.0,   1.0)"
"131","85+","Female","Intentional self-harm","   1.0, (  -1.0,   3.0)"
"132","85+","Female","Assault","   1.0, (   0.0,   2.0)"
"133","All ages","Female","Transport","  63.0, (  39.0,  88.0)"
"134","All ages","Female","Falls"," -44.0, ( -89.0,   2.0)"
"135","All ages","Female","Other unintentional injuries","  -9.0, ( -72.0,  56.0)"
"136","All ages","Female","Drownings","  15.0, (  11.0,  19.0)"
"137","All ages","Female","Intentional self-harm","  62.0, (  35.0,  89.0)"
"138","All ages","Female","Assault","  30.0, (  18.0,  42.0)"
"139","0-4","Both","Transport accidents","   7.0, (   3.0,  11.0)"
"210","5-14","Both","Transport accidents","   9.0, (   4.0,  15.0)"
"310","15-24","Both","Transport accidents","  94.0, (  73.0, 113.0)"
"410","25-34","Both","Transport accidents","  75.0, (  53.0,  97.0)"
"510","35-44","Both","Transport accidents","  52.0, (  35.0,  71.0)"
"610","45-54","Both","Transport accidents","  70.0, (  48.0,  90.0)"
"710","55-64","Both","Transport accidents","  75.0, (  53.0,  99.0)"
"810","65-74","Both","Transport accidents","  35.0, (  18.0,  52.0)"
"910","75-84","Both","Transport accidents","  23.0, (  10.0,  35.0)"
"1010","85+","Both","Transport accidents","   8.0, (  -1.0,  17.0)"
"1210","0-4","Both","Accidental falls","   0.0, (   0.0,   1.0)"
"1310","5-14","Both","Accidental falls","   0.0, (   0.0,   0.0)"
"141","15-24","Both","Accidental falls","   3.0, (   1.0,   4.0)"
"151","25-34","Both","Accidental falls","   4.0, (   1.0,   7.0)"
"161","35-44","Both","Accidental falls","   2.0, (  -2.0,   7.0)"
"171","45-54","Both","Accidental falls","   4.0, (  -4.0,  12.0)"
"181","55-64","Both","Accidental falls"," -15.0, ( -31.0,   0.0)"
"191","65-74","Both","Accidental falls","  -9.0, ( -30.0,  13.0)"
"201","75-84","Both","Accidental falls"," -34.0, ( -64.0,  -4.0)"
"211","85+","Both","Accidental falls"," -86.0, (-134.0, -38.0)"
"231","0-4","Both","Other external causes of injury","  -8.0, ( -17.0,   2.0)"
"241","5-14","Both","Other external causes of injury","  -2.0, (  -5.0,   0.0)"
"251","15-24","Both","Other external causes of injury","  17.0, (  -4.0,  39.0)"
"261","25-34","Both","Other external causes of injury","  23.0, ( -33.0,  78.0)"
"271","35-44","Both","Other external causes of injury","  51.0, (  -4.0, 105.0)"
"281","45-54","Both","Other external causes of injury","  18.0, ( -39.0,  76.0)"
"291","55-64","Both","Other external causes of injury","   0.0, ( -53.0,  51.0)"
"301","65-74","Both","Other external causes of injury","   1.0, ( -28.0,  30.0)"
"311","75-84","Both","Other external causes of injury"," -10.0, ( -37.0,  17.0)"
"321","85+","Both","Other external causes of injury"," -19.0, ( -54.0,  18.0)"
"341","0-4","Both","Accidental drowning and submersion","  13.0, (   8.0,  17.0)"
"351","5-14","Both","Accidental drowning and submersion","  14.0, (  11.0,  17.0)"
"361","15-24","Both","Accidental drowning and submersion","  41.0, (  36.0,  46.0)"
"371","25-34","Both","Accidental drowning and submersion","  26.0, (  22.0,  31.0)"
"381","35-44","Both","Accidental drowning and submersion","  16.0, (  12.0,  20.0)"
"391","45-54","Both","Accidental drowning and submersion","  13.0, (   8.0,  19.0)"
"401","55-64","Both","Accidental drowning and submersion","   9.0, (   4.0,  14.0)"
"411","65-74","Both","Accidental drowning and submersion","   7.0, (   3.0,  11.0)"
"421","75-84","Both","Accidental drowning and submersion","   4.0, (   1.0,   6.0)"
"431","85+","Both","Accidental drowning and submersion","   1.0, (  -1.0,   2.0)"
"451","0-4","Both","Intentional self-harm","   0.0, (   0.0,   0.0)"
"461","5-14","Both","Intentional self-harm","   4.0, (   0.0,   8.0)"
"471","15-24","Both","Intentional self-harm","  28.0, (   8.0,  47.0)"
"481","25-34","Both","Intentional self-harm","  53.0, (  30.0,  76.0)"
"491","35-44","Both","Intentional self-harm","  57.0, (  35.0,  80.0)"
"501","45-54","Both","Intentional self-harm","  45.0, (  18.0,  72.0)"
"511","55-64","Both","Intentional self-harm","  69.0, (  40.0,  97.0)"
"521","65-74","Both","Intentional self-harm","  35.0, (  16.0,  53.0)"
"531","75-84","Both","Intentional self-harm","  14.0, (   1.0,  26.0)"
"541","85+","Both","Intentional self-harm","  10.0, (   2.0,  19.0)"
"561","0-4","Both","Assault","   4.0, (   0.0,   8.0)"
"571","5-14","Both","Assault","   2.0, (   0.0,   4.0)"
"581","15-24","Both","Assault","  46.0, (  26.0,  67.0)"
"591","25-34","Both","Assault","  58.0, (  37.0,  80.0)"
"601","35-44","Both","Assault","  25.0, (  10.0,  40.0)"
"611","45-54","Both","Assault","  13.0, (   2.0,  25.0)"
"621","55-64","Both","Assault","  11.0, (   3.0,  20.0)"
"631","65-74","Both","Assault","   3.0, (  -1.0,   8.0)"
"641","75-84","Both","Assault","   1.0, (  -2.0,   3.0)"
"651","85+","Both","Assault","   1.0, (   0.0,   2.0)"
"140","0-4","Male","Intentional","   1.0, (  -2.0,   4.0)"
"212","0-4","Male","Unintentional","  15.0, (  11.0,  19.0)"
"312","0-4","Female","Intentional","   3.0, (   0.0,   6.0)"
"412","0-4","Female","Unintentional","   5.0, (   2.0,   8.0)"
"512","5-14","Male","Intentional","   3.0, (  -1.0,   6.0)"
"612","5-14","Male","Unintentional","  15.0, (  10.0,  20.0)"
"711","5-14","Female","Intentional","   4.0, (   1.0,   6.0)"
"811","5-14","Female","Unintentional","   8.0, (   4.0,  12.0)"
"911","15-24","Male","Intentional","  58.0, (  31.0,  85.0)"
"1011","15-24","Male","Unintentional"," 119.0, ( 100.0, 137.0)"
"1110","15-24","Female","Intentional","  16.0, (   6.0,  26.0)"
"1211","15-24","Female","Unintentional","  19.0, (   9.0,  29.0)"
"1311","25-34","Male","Intentional","  96.0, (  67.0, 126.0)"
"142","25-34","Male","Unintentional","  99.0, (  78.0, 119.0)"
"152","25-34","Female","Intentional","  15.0, (   3.0,  26.0)"
"162","25-34","Female","Unintentional","   7.0, (  -3.0,  17.0)"
"172","35-44","Male","Intentional","  65.0, (  41.0,  89.0)"
"182","35-44","Male","Unintentional","  65.0, (  48.0,  82.0)"
"192","35-44","Female","Intentional","  17.0, (   6.0,  29.0)"
"202","35-44","Female","Unintentional","   6.0, (  -2.0,  14.0)"
"213","45-54","Male","Intentional","  45.0, (  19.0,  70.0)"
"221","45-54","Male","Unintentional","  80.0, (  59.0, 101.0)"
"232","45-54","Female","Intentional","  13.0, (  -1.0,  27.0)"
"242","45-54","Female","Unintentional","   7.0, (  -4.0,  18.0)"
"252","55-64","Male","Intentional","  68.0, (  41.0,  95.0)"
"262","55-64","Male","Unintentional","  65.0, (  40.0,  90.0)"
"272","55-64","Female","Intentional","  13.0, (  -2.0,  27.0)"
"282","55-64","Female","Unintentional","   4.0, (  -8.0,  16.0)"
"292","65-74","Male","Intentional","  28.0, (  11.0,  46.0)"
"302","65-74","Male","Unintentional","  23.0, (   0.0,  46.0)"
"313","65-74","Female","Intentional","  10.0, (   1.0,  18.0)"
"322","65-74","Female","Unintentional","  10.0, (  -5.0,  25.0)"
"331","75-84","Male","Intentional","  14.0, (   2.0,  26.0)"
"342","75-84","Male","Unintentional"," -12.0, ( -36.0,  12.0)"
"352","75-84","Female","Intentional","   0.0, (  -4.0,   4.0)"
"362","75-84","Female","Unintentional","   5.0, ( -17.0,  26.0)"
"372","85+","Male","Intentional","  10.0, (   1.0,  18.0)"
"382","85+","Male","Unintentional"," -42.0, ( -73.0, -11.0)"
"392","85+","Female","Intentional","   2.0, (   0.0,   4.0)"
"402","85+","Female","Unintentional"," -36.0, ( -75.0,   2.0)"
"413","All ages","Both","Intentional"," 480.0, ( 410.0, 550.0)"
"422","All ages","Both","Unintentional"," 461.0, ( 377.0, 543.0)"
"432","All ages","Male","Intentional"," 388.0, ( 323.0, 451.0)"
"441","All ages","Male","Unintentional"," 427.0, ( 361.0, 492.0)"
"452","All ages","Female","Intentional","  92.0, (  63.0, 122.0)"
"462","All ages","Female","Unintentional","  34.0, ( -19.0,  86.0)"
"143","0-4","Male","All injuries","  16.0, (  11.0,  21.0)"
"214","0-4","Female","All injuries","   8.0, (   4.0,  12.0)"
"314","5-14","Male","All injuries","  18.0, (  12.0,  24.0)"
"414","5-14","Female","All injuries","  11.0, (   7.0,  16.0)"
"513","15-24","Male","All injuries"," 177.0, ( 144.0, 209.0)"
"613","15-24","Female","All injuries","  35.0, (  21.0,  49.0)"
"712","25-34","Male","All injuries"," 195.0, ( 159.0, 230.0)"
"812","25-34","Female","All injuries","  22.0, (   6.0,  37.0)"
"912","35-44","Male","All injuries"," 130.0, ( 101.0, 160.0)"
"1012","35-44","Female","All injuries","  23.0, (   9.0,  38.0)"
"1111","45-54","Male","All injuries"," 125.0, (  92.0, 158.0)"
"1212","45-54","Female","All injuries","  20.0, (   3.0,  38.0)"
"1312","55-64","Male","All injuries"," 133.0, (  96.0, 170.0)"
"144","55-64","Female","All injuries","  17.0, (  -2.0,  36.0)"
"153","65-74","Male","All injuries","  51.0, (  22.0,  80.0)"
"163","65-74","Female","All injuries","  20.0, (   2.0,  37.0)"
"173","75-84","Male","All injuries","   2.0, ( -24.0,  29.0)"
"183","75-84","Female","All injuries","   5.0, ( -17.0,  27.0)"
"193","85+","Male","All injuries"," -32.0, ( -64.0,   0.0)"
"203","85+","Female","All injuries"," -34.0, ( -73.0,   4.0)"
"215","All ages","Both","All injuries"," 941.0, ( 831.0,1053.0)"
"222","All ages","Male","All injuries"," 815.0, ( 721.0, 909.0)"
"233","All ages","Female","All injuries"," 126.0, (  66.0, 185.0)"
